Config,mean,var,std
14_1,475.0,68393.0,261.5205536855564
14_10,212.0,7094.0,84.22588675698226
14_12,183.5,1466.75,38.29817228014935
14_14,182.5,1468.75,38.32427429188973
14_16,179.3,1722.5099999999998,41.50313241190356
14_2,301.3,15189.31,123.24491875935495
14_4,240.1,9842.99,99.21184405100028
14_6,238.1,9401.389999999998,96.96076526100646
14_8,202.8,5418.16,73.60815172248248
28_1,1966.9,1515059.3900000006,1230.8774878110335
28_10,891.0,111443.0,333.8307954638098
28_12,869.7,99840.91,315.97612251561037
28_14,843.7,66779.31000000001,258.4169305598997
28_16,954.2,120018.36000000004,346.4366608775694
28_2,1470.3,570056.91,755.0211321545908
28_4,1038.8,239070.56000000008,488.94842263780754
28_6,913.7,140227.30999999997,374.4693712441646
28_8,906.7,93032.11000000002,305.0116555149983
7_1,130.4,9001.840000000002,94.87802696093549
7_10,52.2,25.16000000000001,5.015974481593782
7_12,52.1,18.59,4.31161222746202
7_14,50.4,11.84,3.4409301068170506
7_16,50.2,7.96,2.821347195933177
7_2,99.7,5402.909999999998,73.50448965879566
7_4,66.4,869.0400000000003,29.4794843916918
7_6,55.3,58.91000000000001,7.675285010994706
7_8,56.8,221.76000000000005,14.89160837518903
