Run,Mean,Variance,Standard deviation
1.0,1.7410355709283152,0.011221726489385528,0.10593265072387044
2.0,1.7430967695687087,0.015331140790639944,0.12381898396707972
3.0,1.745646354767091,0.015611544972036165,0.12494616829673555
4.0,1.746108648428051,0.013171762063536452,0.1147682972930088
5.0,1.744723035479262,0.012909539490400806,0.11362015441989509
6.0,,,
7.0,1.7380467803847985,0.015254176352871485,0.12350779875324264
8.0,1.7512891003376934,0.009427698872844744,0.09709633810213825
9.0,1.751979992890065,0.006651160246410479,0.08155464576840782
10.0,1.7347664697470306,0.019725521783706786,0.14044757663878288
11.0,1.745364072988894,0.013304926299037345,0.11534698218435255
12.0,1.738521198332181,0.023285178564850077,0.15259481827653937
13.0,1.7415181313605566,0.01872478503281638,0.13683853635879178
14.0,1.753354844915112,0.010185520340667697,0.10092333892944534
15.0,1.7422760951149932,0.011121333911568696,0.10545773519078008
16.0,1.7437852915310605,0.016332150473939194,0.12779730229523312
17.0,1.7422243421529933,0.016591110793014386,0.12880648583442678
18.0,1.7324640588271432,0.02183022534197984,0.14775055107166213
19.0,1.7352831894060978,0.023590978157442002,0.15359354855410431
20.0,1.7473425688583457,0.00787415814296167,0.08873645329266698
21.0,1.7381115263369076,0.019031722227313856,0.13795550814416166
22.0,1.7514974040694695,0.008553648068110858,0.09248593443389572
23.0,1.7484277785485631,0.009462482495038812,0.09727529231536039
24.0,1.7459437286726156,0.016073965246124717,0.12678314259445028
25.0,1.7432523801635382,0.013215208696216917,0.11495742123158868
26.0,1.7364162208170182,0.022136230622694476,0.14878249434222587
27.0,1.7408324600731586,0.01922999353952715,0.13867225223355661
28.0,1.7426246807521881,0.011487236787249704,0.10717852764079988
29.0,1.746856549341076,0.012594670375419937,0.11222597905752454
30.0,1.7479619201541923,0.01002670873337433,0.10013345461619873
31.0,1.7391613164264235,0.020940117144233505,0.1447070044753657
32.0,1.7382352683711861,0.016591150862139192,0.12880664137434525
33.0,,,
34.0,1.7422175304152268,0.016694228358163136,0.12920614675069889
35.0,1.7501098854664314,0.009946429564486731,0.09973178813440944
36.0,1.7408634419206657,0.014213481416348272,0.1192203062248553
37.0,1.7500748285694225,0.007658469564306373,0.08751268230551713
38.0,1.7457139120116643,0.007421055874777113,0.08614555052222438
39.0,1.7402589755887934,0.013772964236111804,0.11735827297686262
40.0,1.7398543957421257,0.015850129572109788,0.12589729771567693
41.0,1.744550080508087,0.016022970178645533,0.12658187144550176
42.0,1.7432884660870016,0.01167859296659476,0.108067538912454
43.0,1.7427476399193331,0.017025529170806374,0.13048191127817824
44.0,1.7475212438359202,0.010402373483098254,0.1019920265662873
45.0,1.7472481359141785,0.012411316656285592,0.11140608895516256
46.0,1.7476208467420724,0.011956136200307292,0.10934411827029057
47.0,1.7274692520217183,0.02907564867746694,0.17051583116375715
48.0,1.7471645429137177,0.008811581922389459,0.09387002675183095
49.0,1.7485535739698221,0.012615269952887934,0.1123177187842058
50.0,1.747300185867206,0.011408657403551478,0.10681131683277516
51.0,1.7308158459062968,0.025996412022757744,0.1612340287369814
52.0,1.740365315323035,0.01819834860533985,0.13490125501766043
53.0,1.739681506079055,0.017698890102260074,0.13303717563996942
54.0,1.7489462103921023,0.009614089094701458,0.09805146146132375
55.0,1.752108746081044,0.004610024235539238,0.067897159259716
56.0,1.7430278135476427,0.014071680416327012,0.11862411397488713
57.0,1.7414956710559248,0.014206289516740231,0.11919014018256809
58.0,1.7468108734254513,0.012173875424446323,0.11033528639762677
59.0,1.738201566732685,0.013461009649648945,0.11602159130803605
60.0,1.7298539850755845,0.02678142943543748,0.16365032671961727
61.0,1.7437108367983385,0.015419281189085738,0.12417439828356625
62.0,1.7445538166276158,0.01148670442469442,0.10717604408026274
63.0,1.73124535317652,0.0245085475739803,0.15655206026744042
64.0,1.735891057751098,0.018889346570557585,0.13743851923881306
65.0,1.7432827426171016,0.010029246572231655,0.10014612609697718
66.0,1.7447084802608566,0.014133458212340274,0.11888422188137614
67.0,1.7476727589621963,0.009816319964015234,0.09907734334354769
68.0,1.7496788296313228,0.006975045346011232,0.0835167369214772
69.0,1.7473930839215117,0.014715069256557604,0.12130568517822074
70.0,1.7340918906790477,0.028268887018973166,0.16813353924477165
71.0,1.7429729524459432,0.016258356706300433,0.12750826132568993
72.0,1.7418618008104874,0.015753973700512038,0.12551483458345486
73.0,1.7411894594742985,0.01792558075698752,0.13388644724910553
74.0,1.7400495001990732,0.022425435046899003,0.1497512438909908
75.0,,,
76.0,1.7435411012628494,0.01297650771495938,0.11391447544082964
77.0,1.7407976307495374,0.011934424313710943,0.1092447907852404
78.0,1.744415831503311,0.013453722348710543,0.11599018212206817
79.0,1.7425388989420558,0.01983418088633477,0.14083387691296
80.0,1.7465157771255928,0.013057497578009893,0.11426940788334336
81.0,1.7492932406882378,0.013636938541056605,0.11677730319311456
82.0,1.748144489220041,0.009188960491927401,0.09585906577850319
83.0,1.7385307513637758,0.019681976350215017,0.14029246718984956
84.0,1.7502492143793185,0.011576562531022355,0.10759443540918998
85.0,1.7354411332888404,0.01992192531643801,0.1411450506267861
86.0,1.737652275210228,0.01896338173046162,0.13770759503550128
87.0,1.7428351528402461,0.010868708592548683,0.10425309871916845
88.0,1.736751487975553,0.017554205759669022,0.13249228566097357
89.0,1.7452580522538033,0.01724295798956982,0.13131244415351434
90.0,1.7355246791077517,0.025101701429412673,0.15843516475016736
91.0,1.73970583590032,0.012289716368820574,0.11085899317971715
92.0,1.7511253711298234,0.006209225190141168,0.07879863698149332
93.0,1.741856146777619,0.018323992178836786,0.13536614118322493
94.0,1.735843598800836,0.018746149629679118,0.13691657908989371
95.0,1.7334477569765987,0.022130952658302235,0.14876475610272158
96.0,1.7437745460896381,0.0161302668282214,0.12700498741475233
97.0,1.743094458081688,0.01605131454495139,0.12669378258206435
98.0,1.745759540395258,0.010245387532807739,0.10121950174155048
99.0,1.7437935111290466,0.014688867837297765,0.12119763956982729
100.0,1.729587644448559,0.027750812676477398,0.16658575172108028
